key,item type,year,author,title,booktitle,isbn,issn,doi,url,abstract note,date,date added,date modified,access date,pages,num pages,issue,volume,number of volumes,journal abbreviation,short title,series,series number,series text,series title,publisher,place,language,rights,type,archive,archive location,library catalog,call number,extra,notes,file attachments,link attachments,manual tags,automatic tags,editor,series editor,translator,contributor,attorney agent,book author,cast member,commenter,composer,cosponsor,counsel,interviewer,producer,recipient,reviewed author,scriptwriter,words by,guest,number,edition,running time,scale,medium,artwork size,filing date,application number,assignee,issuing authority,country,meeting name,conference name,court,references,reporter,legal status,priority numbers,programming language,version,system,code,code number,section,session,committee,history,legislative body
6LSTKP9F,conferencePaper,2024,"Costa, Paulo; Ordonez, Edward; Teixeira De Araujo, Jean","A Systematic Mapping on Software Aging and Rejuvenation Prediction Models in Edge, Fog and Cloud Architectures:",Proceedings of the 26th International Conference on Enterprise Information Systems,978-989-758-692-7,,10.5220/0012633900003690,https://www.scitepress.org/DigitalLibrary/Link.aspx?doi=10.5220/0012633900003690,,2024,2024-07-23 08:02:20,2024-10-03 13:30:14,2024-07-23 08:02:20,933-942,,,,,,"A Systematic Mapping on Software Aging and Rejuvenation Prediction Models in Edge, Fog and Cloud Architectures",,,,,SCITEPRESS - Science and Technology Publications,"Angers, France",en,,,,,DOI.org (Crossref),,"TLDR: A survey of the last fifteen years of models with a measurement-based prediction strategy for software aging and rejuvenation prediction models is presented, highlighting the importance of these models, due to the high cost of software or service downtime in IT datacenter environments.",,"C:\Users\tristone\Zotero\storage\6NTE4K7T\Costa 等 - 2024 - A Systematic Mapping on Software Aging and Rejuvenation Prediction Models in Edge, Fog and Cloud Arc.pdf",,分析方式：综述（Measurement-Based）; 会议：ICEIS; 年份：2009-2023; 系统类型：云、雾、边缘计算环境,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26th International Conference on Enterprise Information Systems,,,,,,,,,,,,,,,
7WHVJGXV,journalArticle,2024,"Nie, Yuge; Chen, Yulei; Jiang, Yujia; Wu, Huayao; Yin, Beibei; Cai, Kai-Yuan",A method of multidimensional software aging prediction based on ensemble learning: A case of Android OS,Information and Software Technology,,09505849,10.1016/j.infsof.2024.107422,https://linkinghub.elsevier.com/retrieve/pii/S0950584924000272,"Software aging refers to the phenomenon of performance degradation, increasing failure rate, or system crash due to resource consumption and error acc…",2024-06,2024-07-23 07:59:55,2024-08-14 08:07:02,2024-07-23 07:59:55,107422,,,170.0,,Inform. Software Tech.,A method of multidimensional software aging prediction based on ensemble learning,,,,,,,en-US,,,,,www.sciencedirect.com,,Publisher: Elsevier JCR分区: Q1 中科院分区升级版: 计算机科学2区 影响因子: 3.8 5年影响因子: 4.0 EI: 是 CCF: B,,C:\Users\tristone\Zotero\storage\PDFJ53V6\Nie 等 - 2024 - A method of multidimensional software aging prediction based on ensemble learning A case of Android.pdf,,验证方法：实验实证&比较分析; 分析方式：Measurement-based（ML）; 老化影响：崩溃/挂起故障&性能降级; 系统类型：Android; 模型：集成学习; 评判指标：RMSE，Accuracy; 期刊：IST; 指标：LT，内存，存储，GC，Task-level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHJ99M7G,conferencePaper,2023,"Watanabe, Kengo; Machida, Fumio; Andrade, Ermeson; Pietrantuono, Roberto; Cotroneo, Domenico",Software Aging in a Real-Time Object Detection System on an Edge Server,Proceedings of the 38th ACM/SIGAPP Symposium on Applied Computing,978-1-4503-9517-5,,10.1145/3555776.3577717,https://doi.org/10.1145/3555776.3577717,"Real-time object detection systems are rapidly adopted in many edge computing systems for IoT applications. Since the computational resources on edge devices are often limited, continuous real-time object detection may suffer from the degradation of performance and reliability due to software aging. To provide a reliable IoT applications, it is crucial to understand how software aging can manifest in object detection systems under resource-constrained environment. In this paper, we investigate the software aging issue in a real-time object detection system using YOLOv5 running on a Raspberry Pi-based edge server. By performing statistical analysis on the measurement data, we detected a suspicious trend of software aging in the memory usage, which is induced by real-time object detection workloads. We also observe that a system monitoring process is halted due to the shortage of free storage space as a result of YOLOv5's resource dissipation. The monitoring process fails after 24.11, 44.56, and 115.36 hours (on average), when we set the sizes of input images to 160px, 320px, and 640px, respectively, in our system. Our experimental results can be used to plan countermeasures such as software rejuvenation and task offloading.",2023-06-07,2024-07-22 02:24:29,2024-10-03 03:08:21,2024-07-21,671–678,,,,,,,SAC '23,,,,Association for Computing Machinery,"New York, NY, USA",,,,,,ACM Digital Library,,"TLDR: This paper investigates the software aging issue in a real-time object detection system using YOLOv5 running on a Raspberry Pi-based edge server and detects a suspicious trend of software aging in the memory usage, which is induced by real- time object detection workloads.","<div data-schema-version=""8""><p>在资源受限的边缘服务器上运行的实时目标检测系统中，在内存使用和交换使用中存在可疑的老化趋势。</p> </div>",C:\Users\tristone\Zotero\storage\5CJS8Q9J\Watanabe 等 - 2023 - Software Aging in a Real-Time Object Detection System on an Edge Server.pdf,,验证方法：实验实证; 分析方式：现象分析&度量; 老化影响：性能降级&内存消耗; 模型：MK，Sen's; 系统类型：边缘服务器; 指标：处理时间、吞吐量、内存、交换空间,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LZRYCJRH,journalArticle,2023,"Kaur, Harguneet; Kaur, Arvinder",SMOTE-Based Homogeneous Prediction for Aging-Related Bugs in Cloud-Oriented Software,Journal of Information & Knowledge Management,,"0219-6492, 1793-6926",10.1142/S0219649223500478,https://www.worldscientific.com/doi/10.1142/S0219649223500478,"Software aging is the process caused by Aging-Related Bugs (ARBs) which leads to the depletion of resources and degradation of performance in the long run. ARBs are difficult to find and replicate in future studies as they are less in number, thus prediction of ARB is necessary to save cost and time in the testing phase. ARBs are present in low proportion as compared to non-ARBs known as the class Imbalance problem resulting in insufficient training dataset for prediction models. In this study, Synthetic Minority Oversampling Technique (SMOTE) is applied along with homogeneous cross-project ARB prediction to reduce the effect of imbalance problem in software. SMOTE is oversampling of the minority instances synthetically to balance the dataset and improve the capability of defect prediction models. Homogeneous cross-project prediction is implemented where the datasets are different but the distribution of metric sets of both training and testing datasets is similar. The experiment is conducted on five cloud-oriented software such as Cassandra, Hive, Storm, Hadoop HDFS and Hadoop Mapreduce. The novelty of this study is the combination of SMOTE and homogeneous cross-project defect prediction for ARBs in cloud-oriented software. The comparative analysis is also conducted to understand the difference between SMOTE and non-SMOTE results with the help of machine learning classifiers. The result conveys that SMOTE is an efficient method to address class imbalance problem in ARB prediction.",2023-10,2024-07-23 08:05:18,2024-10-12 06:21:23,2024-07-23 08:05:18,2350047,,5.0,22.0,,Journal of Information & Knowledge Management,,,,,,,,en,,,,,Semantic Scholar,,影响因子: 0.9 5年影响因子: 1.0 EI: 是 TLDR: Synthetic Minority Oversampling Technique (SMOTE) is applied along with homogeneous cross-project ARB prediction to reduce the effect of imbalance problem in software aging and the result conveys that SMOTE is an efficient method to address class imbalanceproblem in ARB Prediction.,"<div data-schema-version=""8""><p>在跨项目 ARB 预测使用SMOTE，以减少不平衡问题的影响</p> </div>",C:\Users\tristone\Zotero\storage\M2YLQFUX\Kaur和Kaur - 2023 - SMOTE-Based Homogeneous Prediction for Aging-Related Bugs in Cloud-Oriented Software.pdf; ,https://www.semanticscholar.org/paper/SMOTE-Based-Homogeneous-Prediction-for-Bugs-in-Kaur-Kaur/114e0e8f03e41a3ed671a99909031ef48bf2c66d,分析方式：ARB prediction; 模型：Bagging、Adaboost、Logistic回归、Naive Bayes、LogitBoost、随机森林、J48和决策表; 判定指标：Recall、FPR和Balance; 系统类型：云; 验证方法：实验实证&对比分析; 指标：程序规模度量，McCabe复杂度度量，老化相关度量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ8RKLMB,journalArticle,2023,"Parashivamurthy, Shruthi; Cholli, Nagaraj Girish",Software aging prediction – a new approach,International Journal of Electrical and Computer Engineering (IJECE),,"2722-2578, 2088-8708",10.11591/ijece.v13i2.pp1773-1781,https://ijece.iaescore.com/index.php/IJECE/article/view/27487,"To meet the users’ requirements which are very diverse in recent days, computing infrastructure has become complex. An example of one such infrastructure is a cloud-based system. These systems suffer from resource exhaustion in the long run which leads to performance degradation. This phenomenon is called software aging. There is a need to predict software aging to carry out pre-emptive rejuvenation that enhances service availability. Software rejuvenation is the technique that refreshes the system and brings it back to a healthy state. Hence, software aging should be predicted in advance to trigger the rejuvenation process to improve service availability. In this work, the <em>k</em>-nearest neighbor (<em>k</em>-NN) algorithm-based new approach has been used to identify the virtual machine's status, and a prediction of resource exhaustion time has been made. The proposed prediction model uses static thresholding and adaptive thresholding methods. The performance of the algorithms is compared, and it is found that for classification, the <em>k</em>-NN performs comparatively better, i.e., <em>k</em>-NN showed an accuracy of 97.6. In contrast, its counterparts performed with an accuracy of 96.0 (naïve Bayes) and 92.8 (decision tree). The comparison of the proposed work with previous similar works has also been discussed.",2023-04-01,2024-07-23 07:36:20,2024-10-03 08:50:46,2024-07-23 07:36:20,1773,,2.0,13.0,,International Journal of Electrical and Computer Engineering (IJECE),,,,,,,,,http://creativecommons.org/licenses/by-sa/4.0,,,,Semantic Scholar,,"TLDR: The k-nearest neighbor (k-NN) algorithm-based new approach has been used to identify the virtual machine's status, and a prediction of resource exhaustion time has been made, and the proposed prediction model uses static thresholding and adaptive thresholding methods.","<div data-schema-version=""8""><p>提出了一种基于k最近邻（k-NN）算法的新方法，用于预测虚拟机的资源耗尽时间。通过静态阈值和自适应阈值方法，预测模型能够识别虚拟机的状态并触发再生过程​​。</p> </div>",C:\Users\tristone\Zotero\storage\MJ3G3RD6\Parashivamurthy和Cholli - 2023 - Software aging prediction – a new approach.pdf; ,https://www.semanticscholar.org/paper/Software-aging-prediction-%E2%80%93-a-new-approach-Parashivamurthy-Cholli/e21a62187e247a6423c7d9865766d58586782d51,验证方法：实验实证&对比分析; 系统类型：虚拟化系统; 老化影响：内存消耗，CPU利用率上升; 判定指标：准确率; 期刊：IJECE; 指标：内存，CPU; 分析方式：度量&Measurement-based（ML+阈值）; 模型：KNN; 阈值：静态+自适应阈值,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LYL2JHUP,journalArticle,2023,"Shi, Fengdong; Yuan, Zhi; Wang, Min; Cui, Jun",Research on Cloud Platform Software Aging Prediction Method Based on VMD-ARIMA-BilSTM Combined Model,Integrated Ferroelectrics,,1058-4587,10.1080/10584587.2023.2192665,https://doi.org/10.1080/10584587.2023.2192665,"When the cloud platform runs under heavy load for a long time, internal resources will be consumed and errors will accumulate continuously. As a result, the software aging phenomenon occurs, which ultimately degrades the performance and reliability of the software system. Aiming at the above problems, this paper proposes a hybrid model based on integrated variational mode decomposition, moving average free regression and long and short memory network (VMD-ARIMA-BILSTM) to predict the software aging problem. Firstly, the original resource utilization rate is decomposed into stationary time series and non-stationary time series by variational mode decomposition. Then, the advantages of moving average free regression and bidirectional long short-term memory network are used to predict stationary and non-stationary series respectively. Finally, the prediction results are reconstructed to obtain the final prediction results. Experimental results show that compared with single ARIMA and BI-LSTM, the hybrid model designed in this paper has higher prediction accuracy and faster convergence speed.",2023-09-02,2024-07-23 07:49:11,2024-10-12 06:23:07,2024-07-23 07:49:11,297-309,,1.0,237.0,,Integr. Ferroelectr.,,,,,,,,,,,,,Taylor and Francis+NEJM,,"Publisher: Taylor & Francis _eprint: https://doi.org/10.1080/10584587.2023.2192665 JCR分区: Q4 中科院分区升级版: 工程技术4区 影响因子: 0.7 5年影响因子: 0.8 EI: 是 南农高质量: D TLDR: A hybrid model based on integrated variational mode decomposition, moving average free regression and long and short memory network (VMD-ARIMA-BILSTM) to predict the software aging problem has higher prediction accuracy and faster convergence speed.","<div data-schema-version=""8""><p>VMD将原始资源利用率分解为平稳时间序列和非平稳时间序列，分别使用ARIMA和BiLSTM模型对其进行预测，最终整合预测结果，以提高预测准确性和收敛速度。</p> </div>",C:\Users\tristone\Zotero\storage\YDVM9KXY\Shi 等 - 2023 - Research on Cloud Platform Software Aging Prediction Method Based on VMD-ARIMA-BilSTM Combined Model.pdf,,"分析方式：Measurement-based（时间序列+ML）; 老化影响：性能降级; 模型：VMD, ARIMA, LSTM; 系统类型：云; 验证方法：实验实证&比较分析; 指标：CPU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JG2JQ5K3,journalArticle,2023,"Jia, Kai; Yu, Xiao; Zhang, Chen; Hu, Wenhua; Zhao, Dongdong; Xiang, Jianwen",Software Aging Prediction for Cloud Services Using a Gate Recurrent Unit Neural Network Model Based on Time Series Decomposition,IEEE Transactions on Emerging Topics in Computing,,2168-6750,10.1109/TETC.2023.3258503,https://ieeexplore.ieee.org/abstract/document/10078836,"Software aging, which is caused by the accumulation of errors in the system and the consumption of computing resources, tends to occur in long-running cloud service software systems. In practice, software aging prediction has proven to be useful in planning the time to trigger rejuvenation because it provides a prior estimate of future resource consumption. However, aging indicators (e.g., physical memory) in cloud may have the characteristics of long-term slow growth, medium-term seasonality variations (alternating peaks and troughs), and short-term irregular fluctuations. Unfortunately, most of the existing aging prediction methods (e.g., a statistical or single machine learning model) only focus on the accuracy of short-term prediction, while lacking the cognition of the medium and long-term variations of aging indicators and their functions in formulating the rejuvenation schedule (e.g., performing rejuvenation when the load is low can minimize interference to users). To address the above problems, this article proposes a novel hybrid aging prediction framework to work on the prediction of memory resource consumption in cloud by applying a seasonal-trend decomposition procedure based on loess (STL) method and Gate Recurrent Unit (GRU) neural network, called the decomposition-based GRU (DGRU). The effectiveness of DGRU mainly has two aspects. One is the STL method as a preprocessing technology that can extract the trend, seasonality, and residual characteristics from memory utilization data. The other is that these characteristics can be well predicted separately by a well-designed GRU model, which can model the time-series relationship between the data. Experimental results show that our DGRU framework has superior performance compared with its competitors, including seven single models and six hybrid models. Our study illustrates that the DGRU is a promising solution for high-precision software aging prediction.",2023-07,2024-07-22 02:18:16,2024-09-24 06:50:05,2024-07-22 02:18:16,580-593,,3.0,11.0,,IEEE Trans. Emerg. Topics Comput.,,,,,,,,,,,,,IEEE Xplore,,"Conference Name: IEEE Transactions on Emerging Topics in Computing JCR分区: Q1 中科院分区升级版: 计算机科学2区 影响因子: 5.1 5年影响因子: 4.5 EI: 是 南农高质量: A TLDR: This article proposes a novel hybrid aging prediction framework to work on the prediction of memory resource consumption in cloud by applying a seasonal-trend decomposition procedure based on loess (STL) method and Gate Recurrent Unit (GRU) neural network, called the decomposition-based GRU (DGRU).","<div data-schema-version=""8""><p>基于Loess的季节性趋势分解（STL）方法和门控循环单元（GRU）神经网络的混合预测框架，用于预测云服务中的内存资源消耗</p> </div>",C:\Users\tristone\Zotero\storage\T8N5L3CV\10078836.html; C:\Users\tristone\Zotero\storage\82IHJJGD\Jia 等 - 2023 - Software Aging Prediction for Cloud Services Using a Gate Recurrent Unit Neural Network Model Based.pdf,,"分析方式：Measurement-based（ML）; 验证方法：实验实证&对比分析; 指标：内存; 期刊：JETC; 老化影响：内存消耗; 系统类型：虚拟化系统; 模型：季节性趋势分解（STL），GRU; 判定指标：MAE, RMSE, MAPE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5UKPNITA,journalArticle,2023,"Qin, Fangyun; Zheng, Zheng; Wan, Xiaohui; Liu, Zhihao; Shi, Zhiping",Predicting Aging-Related Bugs Using Network Analysis on Aging-Related Dependency Networks,IEEE Transactions on Emerging Topics in Computing,,2168-6750,10.1109/TETC.2023.3279388,https://ieeexplore.ieee.org/abstract/document/10138751,"Software aging, a phenomenon that exhibits an increasing failure rate or progressive performance degradation in long-running software systems, has caused serious cost damage or even loss of human lives. To aid aging-related bug (ARB, whose activation can result in software aging) detection and removal before software release, ARB prediction was proposed. Based on the prediction results, software teams can allocate limited testing resources to ARB-prone modules. Previous research has proposed several methods for both within-project and cross-project ARB prediction. However, they are based on the same set of metrics focusing on the contents of a single module, and only six metrics are aging-related. In this paper, we develop aging-related network measures by constructing an aging-related dependency network to model the flow of aging-related information in the software. Our evaluation on three commonly used open-source projects reveals that aging-related network measures show an inconsistent association with ARB-proneness in three projects, and the performance of aging-related network measures varies under different ARB prediction settings.",2023-07,2024-07-23 08:21:38,2024-10-10 12:21:18,2024-07-23 08:21:38,566-579,,3.0,11.0,,IEEE Trans. Emerg. Topics Comput.,,,,,,,,,,,,,IEEE Xplore,,"Conference Name: IEEE Transactions on Emerging Topics in Computing JCR分区: Q1 中科院分区升级版: 计算机科学2区 影响因子: 5.1 5年影响因子: 4.5 EI: 是 南农高质量: A TLDR: Evaluation on three commonly used open-source projects reveals that aging-related network measures show an inconsistent association with ARB-proneness in three projects, and the performance of aging- related network measures varies under different ARB prediction settings.","<div data-schema-version=""8""><p>提出的老化相关网络度量可以捕捉到之前度量无法捕捉的结构特性，有助于提高ARB预测的准确性</p> </div>",C:\Users\tristone\Zotero\storage\66WB5QIX\10138751.html; C:\Users\tristone\Zotero\storage\XQ6T74GX\Qin 等 - 2023 - Predicting Aging-Related Bugs Using Network Analysis on Aging-Related Dependency Networks.pdf,,验证方法：实验实证&对比分析; 系统类型：Linux，MySQL，Apache HTTPD; 判定指标：PD（检测概率）、PF（误报概率）、平衡（Balance）、能耗; 期刊：TETC; 指标：复杂网络度量; 分析方式：ARB prediction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LYAJTUMW,journalArticle,2023,"Andrade, Ermeson; Pietrantuono, Roberto; Machida, Fumio; Cotroneo, Domenico",A Comparative Analysis of Software Aging in Image Classifiers on Cloud and Edge,IEEE Transactions on Dependable and Secure Computing,,1941-0018,10.1109/TDSC.2021.3139201,https://ieeexplore.ieee.org/abstract/document/9665276,"Image classifiers for recognizing real-world objects are widely used in the Internet of Things (IoT) and Cyber-Physical Systems(CPSs). A classifier is trained offline by machine learning algorithms with training data sets, and then it is deployed on a cloud or an edge computing system for online label predictions. As the classifier's performance depends on the underlying software infrastructure, it may degrade over time due to software faults causing software aging. In this paper, we address this issue and experimentally investigate software aging observed in an image classification system that continuously runs on cloud and edge computing environments. We apply several statistical techniques to analyze degradation trends in the systems under stress tests. Our statistical trend analysis confirms the degradation trends in the throughput as well as the available memory resources both in the cloud and the edge environments. Contrary to our expectation, the edge computing environment under test had much less impact on the performance degradation than our cloud environment when the workload is high, although the latter one has four times larger allocated memory resources. We also show that the observed performance degradation trends are associated with the memory usage of specific processes by performing correlation analysis.",2023-01,2024-07-22 02:17:41,2024-09-20 02:18:09,2024-07-22 02:17:41,563-573,,1.0,20.0,,IEEE Trans. Depend. Sec. Comput.,,,,,,,,,,,,,IEEE Xplore,,Conference Name: IEEE Transactions on Dependable and Secure Computing JCR分区: Q1 中科院分区升级版: 计算机科学2区 影响因子: 7.0 5年影响因子: 6.8 EI: 是 南农高质量: A CCF: A TLDR: This paper experimentally investigates software aging observed in an image classification system that continuously runs on cloud and edge computing environments and confirms the degradation trends in the throughput as well as the available memory resources both in the cloud and the edge environments.,"<div data-schema-version=""8""><p>首次比较了云和边缘计算环境中图像分类系统的老化现象，发现云环境在高负载条件下的性能退化更为严重。通过进程分析，识别了可能导致软件老化的进程</p> </div>",C:\Users\tristone\Zotero\storage\NJ75FMPK\Andrade 等 - 2023 - A Comparative Analysis of Software Aging in Image Classifiers on Cloud and Edge.pdf; C:\Users\tristone\Zotero\storage\NRF6QZ3B\9665276.html,,验证方法：实验实证&比较分析; 期刊：TDSC; 老化影响：内存消耗&性能降级; 分析方式：现象分析&度量; 模型：MK，方差分析，传递熵; 系统类型：云、边缘计算环境; 指标：响应时间，吞吐量，内存,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FW795DTJ,journalArticle,2023,"Couto, Herderson; Andrade, Ermeson; Silva, Francisco Airton; Callou, Gustavo",Analysis of Software Aging in a Database Environment,IEEE Latin America Transactions,,1548-0992,,https://latamt.ieeer9.org/index.php/transactions/article/view/7632,"Computer systems that run for long periods of time can suffer from a phenomenon known as software aging. Just like people, software can age. This phenomenon, however, can be viewed as a problem in computer systems because it can accelerate the depletion of resources and even lead to system failures. Databases are widely used software nowadays and can be affected by such a phenomenon, since they need to run for long periods of time uninterruptedly. Therefore, studies that investigate the possible effects of software aging in database environments are very necessary. In this work, we experimentally investigate the software aging phenomena in a database environment using PostgreSQL as the DBMS (Database Management System). By performing statistical analysis on the measurement data, we detected a suspicious phenomenon of software aging induced by workloads in memory and CPU usage. Additionally, our process analysis identified suspicious processes that can lead to memory degradations.",2023-07-24,2024-07-23 07:50:03,2024-08-14 07:53:26,2024-07-23 07:50:03,821-828,,7.0,21.0,,IEEE Lat. Am. Trans.,,,,,,,,en,Copyright (c) 2023 IEEE Latin America Transactions,,,,latamt.ieeer9.org,,Number: 7 JCR分区: Q3 中科院分区升级版: 工程技术4区 影响因子: 1.3 5年影响因子: 0.9 EI: 是 南农高质量: D,"<div data-schema-version=""8""><p>分析数据库环境中软件老化现象，发现PostgreSQL在高负载下显著增加了内存和CPU的使用。使用Mann-Kendall检验确认了内存和CPU使用的增长趋势</p> </div>",C:\Users\tristone\Zotero\storage\24EQ5V98\Couto 等 - 2023 - Analysis of Software Aging in a Database Environment.pdf,,验证方法：实验实证; 分析方式：度量; 模型：MK，Sen's; 老化影响：内存消耗，CPU利用率上升; 指标：内存，CPU; 系统类型：数据库系统（PostgreSQL）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
