original_name,canonical_name,canonical_id
César Santos,César Santos,1
Fumio Machida,Fumio Machida,2
Ermeson Andrade,Ermeson C. Andrade,3
Ermeson C. Andrade,Ermeson C. Andrade,3
Shuning Ge,Shuning Ge,4
Fangyun Qin,Fangyun Qin,5
Xiaohui Wan,Xiaohui Wan,6
Chen Zhang,Chen Zhang,7
Jianwen Xiang,Jianwen Xiang,8
Rui Hao,Rui Hao,9
Marcelo Santos,Marcelo Santos,10
"Matos, Rubens","Matos, Rubens",11
Rubens Matos,"Matos, Rubens",11
Marco Vieira,Marco Vieira,12
Gustavo Costa,Gustavo Costa,13
Cesar Santos,Cesar Santos,14
R. Natella,Roberto Natella,15
Roberto Natella,Roberto Natella,15
V. P. Koutras,Vasilis P. Koutras,16
V.P. Koutras,Vasilis P. Koutras,16
Vasilis P. Koutras,Vasilis P. Koutras,16
A. N. Platis,Agapios N. Platis,17
A.N. Platis,Agapios N. Platis,17
Agapios N. Platis,Agapios N. Platis,17
Arindam Singh,Arindam Singh,18
Ankita Bansal,Ankita Bansal,19
Wenjie Ding,Wenjie Ding,20
Z. Liu,Zhihao Liu,21
Zhihao Liu,Zhihao Liu,21
Xuhui Lu,Xuhui Lu,22
Xiaoting Du,Xiaoting Du,23
Zheng Zheng,Zheng Zheng,24
Hongwei Tao,Hongwei Tao,25
Han Liu,Han Liu,26
Xiaoxu Niu,Xiaoxu Niu,27
Licheng Ding,Licheng Ding,28
Yixiang Chen,Yixiang Chen,29
Qiaoling Cao,Qiaoling Cao,30
Jing Bai,Jing Bai,31
Xiaolin Chang,Xiaolin Chang,32
K. S. Trivedi,"Trivedi, Kishor S.",33
K. Trivedi,"Trivedi, Kishor S.",33
K.S. Trivedi,"Trivedi, Kishor S.",33
Kishor S. Trivedi,"Trivedi, Kishor S.",33
Kishor Trivedi,"Trivedi, Kishor S.",33
"Trivedi, Kishor S.","Trivedi, Kishor S.",33
Pedro Melo,Pedro Melo,34
João Ferreira,João Ferreira,35
"Araujo, Jean",Jean Teixeira de Araujo,36
Jean Araujo,Jean Teixeira de Araujo,36
Jean Teixeira de Araujo,Jean Teixeira de Araujo,36
Yunzhe Tian,Yunzhe Tian,37
Yike Li,Yike Li,38
Kang Chen,Kang Chen,39
Zhen-Yu Zhang,Zhenguo Zhang,40
Zhenguo Zhang,Zhenguo Zhang,40
Endong Tong,Endong Tong,41
Jiqiang Liu,Jiqiang Liu,42
Wenjia Niu,Wenjia Niu,43
A. Avritzer,Alberto Avritzer,44
Alberto Avritzer,Alberto Avritzer,44
Andrea Janes,Andrea Janes,45
Andrea Marin,Andrea Marin,46
Catia Trubiani,Catia Trubiani,47
Andre van Hoorn,Andre van Hoorn,48
Matteo Camilli,Matteo Camilli,49
Daniel S. Menasché,Daniel S. Menasché,50
A. Bondi,André B. Bondi,51
André B. Bondi,André B. Bondi,51
Luigi De Simone,Luigi De Simone,52
Mario Di Mauro,Mario Di Mauro,53
F. Postiglione,Fabio Postiglione,54
Fabio Postiglione,Fabio Postiglione,54
D. Zhao,Dongdong Zhao,55
Dongdong Zhao,Dongdong Zhao,55
F. Zhang,F. Zhang,56
Laura Carnevali,Laura Carnevali,57
Marco Paolieri,Marco Paolieri,58
Riccardo Reali,Riccardo Reali,59
Leonardo Scommegna,Leonardo Scommegna,60
Enrico Vicario,Enrico Vicario,61
Herderson Couto,Herderson Couto,62
Gustavo Callou,Gustavo Callou,63
Yueqi Jiang,Yueqi Jiang,64
Jelena Mišić,Jelena Mišić,65
Vojislav B. Mišić,Vojislav B. Mišić,66
Yingying Yao,Yingying Yao,67
Junchao Fan,Junchao Fan,68
Bocheng Ju,Bocheng Ju,69
Tuan Anh Nguyen,Tuan Anh Nguyen,70
Damsub Lim,Damsub Lim,71
Seunghyeop Nam,Seunghyeop Nam,72
Dugki Min,Dugki Min,73
Iure Fe,Iure Fe,74
Francisco Airton Silva,Francisco Airton Silva,75
"Maciel, Paulo",Paulo R. M. Maciel,76
Paulo Maciel,Paulo R. M. Maciel,76
Paulo R. M. Maciel,Paulo R. M. Maciel,76
Paulo R.M. Maciel,Paulo R. M. Maciel,76
Antonio Sousa,Antonio Sousa,77
David Beserra,David Beserra,78
Xueyong Tan,Xueyong Tan,79
Jing Liu,Jing Liu,80
Emerson Felipe,Emerson Felipe,81
Ivson Borges,Ivson Borges,82
André Assis,André Assis,83
Thayson Guedes,Thayson Guedes,84
Mariane Silva,Mariane Silva,85
L. De Simone,L. De Simone,86
M. Di Mauro,M. Di Mauro,87
M. Longo,M. Longo,88
Kai Jia,Kai Jia,89
Xiao Yu,Xiaohan Yu,90
Xiaohan Yu,Xiaohan Yu,90
Wenzhi Xie,Wenzhi Xie,91
Paulo Costa,Paulo Costa,92
Edward Ordonez,Edward Ordonez,93
Maria Gizele Nascimento,Maria Gizele Nascimento,94
Rafael José Moura,Rafael José Moura,95
Huixia Huo,Huixia Huo,96
Wenhua Hu,Wenhua Hu,97
D. Cotroneo,Domenico Cotroneo,98
Domenico Cotroneo,Domenico Cotroneo,98
Roberto Pietrantuono,Roberto Pietrantuono,99
Nie Yuge,Nie Yuge,100
Chen Yulei,Chen Yulei,101
Jiang Yujia,Jiang Yujia,102
Wu Huayao,Wu Huayao,103
Yin Beibei,Yin Beibei,104
Cai Kai-Yuan,Cai Kai-Yuan,105
Bin Xu,Bin Xu,106
Junwei Zhou,Junwei Zhou,107
Jing Tian,Jing Tian,108
Haining Meng,Haining Meng,109
Jiawei Zhang,Jiawei Zhang,110
Yiming Liu,Yiming Liu,111
Zhuanzhuan Liu,Zhuanzhuan Liu,112
Marco Becattini,Marco Becattini,113
Giovanni Fontani,Giovanni Fontani,114
Leonardo Paroli,Leonardo Paroli,115
James J. Cusick,James J. Cusick,116
Kojiro Soeda,Kojiro Soeda,117
Xiao Xiao,Xiao Xiao,118
Nianqiu Wang,Nianqiu Wang,119
Tommaso Botarelli,Tommaso Botarelli,120
Takeru Wada,Takeru Wada,121
Hiroshi Yamada,Hiroshi Yamada,122
Kengo Watanabe,Kengo Watanabe,123
Harguneet Kaur,Harguneet Kaur,124
Arvinder Kaur,Arvinder Kaur,125
