doi,title,type,year,author,booktitle,pages,issue,volume,publisher,place,conference,date,abstract,repo_venue_tags,repo_analysis_tags,system_type_tag
10.1016/j.jss.2025.112653,Experimental investigation of memory-related software aging in LLM systems,journal,2026,César Santos; Fumio Machida; Ermeson Andrade,Journal of Systems and Software,112653,,231,Elsevier BV,,,2026-1,,JSS,MEA,深度学习系统
10.1007/s11219-025-09710-x,Modeling smart rejuvenation on a series system with different failure modes,journal,2025,Vasilis P. Koutras; Agapios N. Platis,Software Quality Journal,,1,33,Springer Science and Business Media LLC,,,2025-2-3,,SQJ,model-based,非特定的
10.1016/j.jss.2025.112389,KPAMA: A Kubernetes based tool for Mitigating ML system Aging,journal,2025,Wenjie Ding; Zhihao Liu; Xuhui Lu; Xiaoting Du; Zheng Zheng,Journal of Systems and Software,112389,,226,Elsevier BV,,,2025-8,"As machine learning (ML) systems continue to evolve and be applied, their user base and system size also expand. This expansion is particularly evident with the widespread adoption of large language models. Currently, the infrastructure supporting ML systems, such as cloud services and computing hardware, which are increasingly becoming foundational to the ML system environment, is increasingly adopted to support continuous training and inference services. Nevertheless, it has been shown that the increased data volume, complexity of computations, and extended run times challenge the stability of ML systems, efficiency, and availability, precipitating system aging. To address this issue, we develop a novel solution, KPAMA, leveraging Kubernetes, the leading container orchestration platform, to enhance the autoscaling of computing workflows and resources, effectively mitigating system aging. KPAMA employs a hybrid model to predict key aging metrics and uses decision and anti-oscillation algorithms to achieve system resource autoscaling. Our experiments indicate that KPAMA markedly mitigates system aging and enhances task reliability compared to the standard Horizontal Pod Autoscaler and systems without scaling capabilities.",JSS,measurement-based; other mitigation,深度学习系统; 虚拟化系统
10.1016/j.infsof.2024.107606,Software aging oriented trustworthiness measurement based on weighted Boltzmann entropy,journal,2025,Hongwei Tao; Han Liu; Xiaoxu Niu; Licheng Ding; Yixiang Chen; Qiaoling Cao,Information and Software Technology,107606,,178,Elsevier BV,,,2025-2,"Context: With the rapid development of software, various software accidents emerge one after another. The catastrophic consequences caused by these accidents make people realize the importance of software trustworthiness. As an indispensable means to ensure software quality, traditional trustworthiness measurement evaluates the software trustworthiness by studying the trustworthy attributes in a static way. However, most of the factors considered in trustworthy attributes tend to be dynamic with time. The current research often ignores the changes in software after running for some time, and cannot reflect the changes in software trustworthiness at different running times. Objective: Our objective in this paper is to study the relationship between running time and software trustworthiness, and design a running time-related software trustworthiness measurement model from the untrustworthy evidence related to software aging. Method: We first extract the untrustworthy evidence from the bugs related to software aging in 5 subsystems of 4 public defect databases and 18 well-known software accidents, establish a risk level model, and design metric elements of untrustworthy evidence based on software aging. Then we construct a software aging cause category trustworthiness measurement model based on Boltzmann entropy. Finally, we build a software trustworthiness measurement model based on weighted Boltzmann entropy. For the weight values used in the model, the Brassard Priority Synthesis Analysis method was used to determine them. Result: Different from the common resource consumption parameter and performance parameter, a model based on weighted Boltzmann entropy can describe the influence of various parameters on the software’s trustworthiness through risk state. It can reflect the change of system state and describe the system state completely. Conclusion: The empirical study shows the effectiveness and practicality of our method for evaluating software dynamic trustworthiness. Meanwhile, it also indicates a promising avenue for future research and application in the field of software trustworthiness measurement.",IST,UDN,非特定的
10.1109/tsusc.2024.3506213,Understanding Container-Based Services Under Software Aging: Dependability and Performance Views,journal,2025,Jing Bai; Xiaolin Chang; Fumio Machida; Kishor S. Trivedi,IEEE Transactions on Sustainable Computing,562-575,3,10,Institute of Electrical and Electronics Engineers (IEEE),,,2025-5,"Container technology, as the key enabler behind microservice architectures, is widely applied in Cloud and Edge Computing. A long and continuous running of operating system (OS) hosting container-based services can encounter software aging that leads to performance deterioration and even causes system failures. OS rejuvenation techniques can mitigate the impact of software aging but the rejuvenation trigger interval needs to be carefully determined to reduce the downtime cost due to rejuvenation. This paper proposes a comprehensive semi-Markov-based approach to quantitatively evaluate the effect of OS rejuvenation on the dependability and the performance of a container-based service. In contrast to the existing studies, we neither restrict the distributions of time intervals of events to be exponential nor assume that backup resources are always available. Through the numerical study, we show the optimal container-migration trigger intervals that can maximize the dependability or minimize the performance of a container-based service.",TSUSC,model-based,Docker
10.1109/tetc.2025.3531051,Towards Label-Efficient Deep Learning-Based Aging-Related Bug Prediction With Spiking Convolutional Neural Networks,journal,2025,Yunzhe Tian; Yike Li; Kang Chen; Zhenguo Zhang; Endong Tong; Jiqiang Liu; Fangyun Qin; Zheng Zheng; Wenjia Niu,IEEE Transactions on Emerging Topics in Computing,314-329,2,13,Institute of Electrical and Electronics Engineers (IEEE),,,2025-4,"Recent advances in Deep Learning (DL) have enhanced Aging-Related Bug (ARB) prediction for mitigating software aging. However, DL-based ARB prediction models face a dual challenge: overcoming overfitting to enhance generalization and managing the high labeling costs associated with extensive data requirements. To address the first issue, we utilize the sparse and binary nature of spiking communication in Spiking Neural Networks (SNNs), which inherently provides brain-inspired regularization to effectively alleviate overfitting. Therefore, we propose a Spiking Convolutional Neural Network (SCNN)-based ARB prediction model along with a training framework that handles the model’s spatial-temporal dynamics and non-differentiable nature. To reduce labeling costs, we introduce a Bio-inspired and Diversity-aware Active Learning framework (BiDAL), which prioritizes highly informative and diverse samples, enabling more efficient usage of the limited labeling budget. This framework incorporates bio-inspired uncertainty to enhance informativeness measurement along with using a diversity-aware selection strategy based on clustering to prevent redundant labeling. Experiments on three ARB datasets show that ARB-SCNN effectively reduces overfitting, improving generalization performance by 6.65% over other DL-based classifiers. Additionally, BiDAL boosts label efficiency for ARB-SCNN training, outperforming four state-of-the-art active learning methods by 4.77% within limited labeling budgets.",TETC,PRE,Linux、MySQL、AXIS、HTTPD
10.1109/tetc.2025.3547612,Software Aging Detection and Rejuvenation Assessment in Heterogeneous Virtual Networks,journal,2025,Alberto Avritzer; Andrea Janes; Andrea Marin; Catia Trubiani; Andre van Hoorn; Matteo Camilli; Daniel S. Menasché; André B. Bondi,IEEE Transactions on Emerging Topics in Computing,299-313,2,13,Institute of Electrical and Electronics Engineers (IEEE),,,2025-4,"In this article, we report on the application of resiliency enforcement strategies that were applied to a microservices system running on a real-world deployment of a large cluster of heterogeneous Virtual Machines (VMs). We present the evaluation results obtained from measurement and modeling implementations. The measurement infrastructure was composed of 15 large and 15 extra-large VMs. The modeling approach used Markov Decision Processes (MDP). On the measurement testbed, we implemented three different levels of software rejuvenation granularity to achieve software resiliency. We have discovered two threats to resiliency in this environment. The first threat to resiliency was a memory leak that was part of the underlying open-source infrastructure in each VM. The second threat to resiliency was the result of the contention for resources in the physical host, which is dependent on the number and size of VMs deployed to the physical host. In the MDP modeling approach, we evaluated four strategies for assigning tasks to VMs with different configurations and different levels of parallelism. Using the large cluster under study, we compared our approach of using software aging and rejuvenation with the state-of-the-art approach of using a network of VMs deployed to a private cloud without software aging detection and rejuvenation. In summary, we show that in a private cloud with non-elastic resource allocation in the physical hosts, careful performance engineering needs to be performed to optimize the trade-offs between the number of VMs allocated and the total memory allocated to each VM.",TETC,model-based,虚拟化系统
10.1109/tetc.2024.3496195,Performability of Service Chains With Rejuvenation: A Multidimensional Universal Generating Function Approach,journal,2025,Luigi De Simone; Mario Di Mauro; Roberto Natella; Fabio Postiglione,IEEE Transactions on Emerging Topics in Computing,341-353,2,13,Institute of Electrical and Electronics Engineers (IEEE),,,2025-4,"Network Function Virtualization (NFV) converts legacy telecommunication systems into modular software appliances, known as service chains, running on the cloud. To address potential software aging-related issues, rejuvenation is often employed to clean up their state and maximize performance and availability. In this work, we propose a framework to model the performability of service chains with rejuvenation. Performance modeling uses queueing theory, specifically adopting an $M/G/m$M/G/m model with the Allen-Cunneen approximation, to capture real-world aspects related to service times. Availability modeling is addressed through the Multidimensional Universal Generating Function (MUGF), a recent technique that achieves computational efficiency when dealing with systems with many sub-elements, particularly useful for multi-provider service chains. Additionally, we deploy an experimental testbed based on the Open5GS service chain, to estimate key performance and availability parameters. Supported by experimental results, we evaluate the impact of rejuvenation on the performability of the Open5GS service chain. The numerical analysis shows that i) the configuration of replicas across nodes is important to meet availability goals; ii) rejuvenation can bring one additional “nine” of availability, depending on the time to recovery; and iii) MUGF can significantly reduce computational complexity through straightforward algebraic manipulations.",TETC,model-based,MEC-SFC
10.1109/tetc.2024.3475214,Cost-Effective Software Rejuvenation Combining Time-Based and Inspection-Based Policies,journal,2025,Laura Carnevali; Marco Paolieri; Riccardo Reali; Leonardo Scommegna; Enrico Vicario,IEEE Transactions on Emerging Topics in Computing,354-369,2,13,Institute of Electrical and Electronics Engineers (IEEE),,,2025-4,"Software rejuvenation is a proactive maintenance technique that counteracts software aging by restarting a system, making selection of rejuvenation times critical to improve reliability without incurring excessive downtime costs. Various stochastic models of Software Aging and Rejuvenation (SAR) have been developed, mostly having an underlying stochastic process in the class of Continuous Time Markov Chains (CTMCs), Semi-Markov Processes (SMPs), and Markov Regenerative Processes (MRGPs) under the enabling restriction, requiring that at most one general (GEN), i.e., non-Exponential, timer be enabled in each state. We present a SAR model with an underlying MRGP under the bounded regeneration restriction, allowing for multiple GEN timers to be concurrently enabled in each state. This expressivity gain not only supports more accurate fitting of duration distributions from observed statistics, but also enables the definition of mixed rejuvenation strategies combining time-based and inspection-based policies, where the time to the next inspection or rejuvenation depends on the outcomes of diagnostic tests. Experimental results show that replacing GEN timers with Exponential timers with the same mean (to satisfy the enabling restriction) yields inaccurate rejuvenation policies, and that mixed rejuvenation outperforms time-based rejuvenation in maximizing reliability, though at the cost of an acceptable decrease in availability.",TETC,hybrid,非特定的
10.1109/tetc.2024.3471684,A Comparative Analysis of Software Aging in Relational Database System Environments,journal,2025,Herderson Couto; Fumio Machida; Gustavo Callou; Ermeson Andrade,IEEE Transactions on Emerging Topics in Computing,370-381,2,13,Institute of Electrical and Electronics Engineers (IEEE),,,2025-4,"Computer systems that operate continuously over extended periods of time can be susceptible to a phenomenon known as software aging. This phenomenon can result in the gradual depletion of computational resources and has the potential to cause performance degradation in these systems. Among the systems affected, Database Management Systems (DBMSs) are particularly crucial. The consequences of software aging in DBMSs can result in data loss, compromised database integrity, transaction failures, and negative effects on system availability. This work analyzes and compares the effects of software aging in systems using SQL Server and MySQL DBMSs. The presence of this phenomenon is confirmed through statistical analysis of memory consumption and response time degradation. Process-level analysis identified database and server processes contributing most to memory consumption. Additionally, we developed machine learning models to predict memory exhaustion in both SQL Server and MySQL environments across diverse workloads.",TETC,measurement-based,数据库系统
